Organisation name,Organisation number (ACN),donor,donor-ratio,donor-matches,first-donor-party,first-donor-value,contractor,contractor-ratio,contractor-matches,first-contractor-value,company-status
ALTO PENNANT HILLS PTY LIMITED,3477647,,,,,,,,,,REGD
ALTO PRESTIGE PTY LTD,344123,,,,,,,,,,REGD
ALTOMONTE HOLDINGS PTY LTD,821910,,,,,,,,,,REGD
ALUMINIUM SPECIALTIES GROUP PTY. LTD.,1252259,ASP Aluminium Specialities Group Pty Ltd,93,1,"Liberal Party of Australia, NSW Division - NSW",3581,,,,,REGD
AMFISSA HOLDINGS PTY. LTD.,8640328,,,,,,,,,,REGD
AMPCONTROL (QLD) PTY LIMITED,1335842,,,,,,,,,,REGD
AMPCONTROL CSM PTY LIMITED,770141,,,,,,AMPCONTROL CSM PTY LTD,100,3,42602.01,REGD
AMPCONTROL PTY LTD,915542,Ampcontrol Pty Ltd,100,1,"Liberal Party of Australia, NSW Division - NSW",2000,,,,,REGD
AMPCONTROL SWG PTY LIMITED,1737533,,,,,,,,,,REGD
AMPCONTROL WA PTY LIMITED,9220535,Ampcontrol Pty Ltd,91,1,"Liberal Party of Australia, NSW Division - NSW",2000,,,,,REGD
ANDCO (1970) PTY LTD,807876,,,,,,,,,,REGD
ANDREW K. INVESTMENTS PTY LTD,568749,Drew Investments,91,1,Liberal Party of Australia - Queensland Division - QLD,1500,,,,,REGD
ANGAS PARK FRUIT COMPANY PTY. LIMITED,7556836,,,,,,,,,,REGD
ANGOVE INVESTMENTS PTY. LTD.,7764981,,,,,,,,,,REGD
ANGOVE'S PROPRIETARY LIMITED,7871114,,,,,,,,,,REGD
APPCORP INVESTMENTS PTY. LTD.,7102418,,,,,,,,,,REGD
APPCORP NORTHERN PTY. LTD.,7102490,,,,,,,,,,REGD
